time,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-12-06,63,6.7,2.3,4.1,-3.2,2024-12-06T08:01,2024-12-06T15:53,28292.23,0.0,0.3,10.0,10.0,0.0,0.0,9.0,100,24.0,50.0,180,0.28,0.35
2024-12-07,53,6.1,4.9,3.2,0.8,2024-12-07T08:03,2024-12-07T15:52,28196.63,20194.23,0.8,2.5,2.5,0.0,0.0,8.0,81,17.9,36.7,181,1.96,0.54
2024-12-08,51,5.3,3.3,2.3,-0.8,2024-12-08T08:04,2024-12-08T15:52,28106.73,60.77,0.2,0.3,0.3,0.0,0.0,3.0,47,16.2,31.7,78,0.37,0.27
2024-12-09,51,4.9,2.8,0.9,-1.2,2024-12-09T08:05,2024-12-09T15:52,28022.74,0.0,0.1,1.7,1.7,0.0,0.0,9.0,71,20.9,41.4,47,0.13,0.27
2024-12-10,3,3.3,1.1,-0.6,-2.5,2024-12-10T08:06,2024-12-10T15:52,27944.84,20324.47,0.7,0.0,0.0,0.0,0.0,0.0,0,19.1,42.1,59,1.86,0.34
2024-12-11,3,3.7,1.2,0.8,-1.8,2024-12-11T08:07,2024-12-11T15:52,27873.22,20675.2,1.0,0.0,0.0,0.0,0.0,0.0,0,7.4,11.5,330,2.67,0.26
2024-12-12,3,2.6,0.5,0.0,-2.2,2024-12-12T08:08,2024-12-12T15:52,27808.08,21688.97,1.0,0.0,0.0,0.0,0.0,0.0,0,6.4,10.8,326,3.15,0.26
2024-12-13,3,3.4,-0.4,-0.7,-4.4,2024-12-13T08:09,2024-12-13T15:52,27749.59,20562.89,1.0,0.0,0.0,0.0,0.0,0.0,0,14.8,31.3,134,2.75,0.43
2024-12-14,61,2.7,-1.0,-1.0,-5.1,2024-12-14T08:10,2024-12-14T15:52,27697.95,0.0,0.25,1.4,1.4,0.0,0.0,5.0,98,13.8,33.8,234,0.81,0.22
2024-12-15,61,7.9,3.1,4.3,-0.8,2024-12-15T08:11,2024-12-15T15:52,27653.32,1094.36,0.6,3.6,3.5,0.1,0.0,8.0,100,19.6,44.3,261,1.12,0.3
2024-12-16,61,11.1,8.2,7.3,4.5,2024-12-16T08:12,2024-12-16T15:52,27615.88,0.0,0.25,0.3,0.2,0.1,0.0,2.0,18,25.2,59.0,264,0.6,0.66
2024-12-17,3,9.5,8.2,6.1,4.3,2024-12-17T08:12,2024-12-17T15:52,27585.79,734.04,0.35,0.0,0.0,0.0,0.0,0.0,5,22.8,50.8,263,1.03,0.74
2024-12-18,61,11.3,5.7,8.6,2.5,2024-12-18T08:13,2024-12-18T15:52,27563.18,0.0,0.55,0.3,0.2,0.0,0.0,2.0,43,16.9,39.6,209,1.36,0.66
2024-12-19,80,12.9,6.5,9.9,2.3,2024-12-19T08:13,2024-12-19T15:53,27547.7,0.0,0.6,3.6,2.9,0.7,0.0,10.0,93,22.2,49.0,223,0.89,0.89
2024-12-20,3,6.1,3.6,1.2,-0.3,2024-12-20T08:14,2024-12-20T15:53,27539.26,18971.78,0.9,0.0,0.0,0.0,0.0,0.0,10,24.6,52.2,268,2.4,0.81
2024-12-21,61,6.4,2.1,2.4,-2.0,2024-12-21T08:15,2024-12-21T15:54,27537.79,0.0,0.2,1.5,1.5,0.0,0.0,5.0,100,20.7,43.9,214,0.86,0.52
2024-12-22,80,7.2,3.8,4.0,0.2,2024-12-22T08:15,2024-12-22T15:54,27543.24,5089.44,0.75,3.0,2.8,0.1,0.0,9.0,100,20.0,44.3,234,1.65,0.43
2024-12-23,85,5.2,3.0,1.6,-1.4,2024-12-23T08:15,2024-12-23T15:55,27555.55,0.0,0.55,1.7,1.1,0.1,0.0,7.0,68,17.0,43.9,251,1.18,0.36
2024-12-24,61,4.4,0.9,1.2,-2.0,2024-12-24T08:16,2024-12-24T15:55,27574.65,0.0,0.75,0.0,0.0,0.0,0.0,0.0,20,15.9,33.5,279,1.42,0.25
2024-12-25,3,5.1,0.3,3.0,-2.7,2024-12-25T08:16,2024-12-25T15:56,27600.46,330.04,0.3,0.0,0.0,0.0,0.0,0.0,0,7.6,15.1,187,1.12,0.2
2024-12-26,45,6.1,5.0,4.6,3.1,2024-12-26T08:16,2024-12-26T15:57,27632.89,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,5.1,11.9,187,0.35,0.13
2024-12-27,45,5.1,0.4,3.3,-2.2,2024-12-27T08:16,2024-12-27T15:58,27671.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5.6,14.0,161,1.18,0.14
2024-12-28,45,-0.0,-1.8,-2.6,-5.0,2024-12-28T08:17,2024-12-28T15:59,27717.32,939.99,1.0,0.0,0.0,0.0,0.0,0.0,0,5.4,12.6,192,1.81,0.14
2024-12-29,56,1.1,-3.4,-2.3,-6.8,2024-12-29T08:17,2024-12-29T15:59,27769.13,8440.22,1.0,0.0,0.0,0.0,0.0,0.0,0,12.3,27.7,248,1.83,0.14
2024-12-30,51,3.0,0.2,-0.6,-3.7,2024-12-30T08:17,2024-12-30T16:00,27827.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,14.8,32.4,227,0.77,0.17
2024-12-31,3,2.3,0.2,-1.0,-3.7,2024-12-31T08:17,2024-12-31T16:01,27891.44,14444.7,1.0,0.0,0.0,0.0,0.0,0.0,0,17.5,37.1,230,2.51,0.24
2025-01-01,3,7.6,0.9,2.0,-3.9,2025-01-01T08:17,2025-01-01T16:03,27961.73,3134.91,0.85,0.0,0.0,0.0,0.0,0.0,15,25.2,54.7,219,2.1,0.95
2025-01-02,80,7.5,1.7,2.6,-2.6,2025-01-02T08:16,2025-01-02T16:04,28037.98,15063.01,1.0,1.3,1.3,0.0,0.0,4.0,100,27.4,60.1,260,2.64,0.68
2025-01-03,85,3.0,-0.9,-2.3,-6.0,2025-01-03T08:16,2025-01-03T16:05,28120.06,4974.2,0.85,1.7,0.7,0.0,0.21,5.0,98,27.5,63.7,268,1.65,0.5
2025-01-04,3,0.8,-0.8,-3.1,-6.2,2025-01-04T08:16,2025-01-04T16:06,28207.88,0.0,0.85,0.0,0.0,0.0,0.0,0.0,5,19.5,40.7,254,1.3,0.25
2025-01-05,73,0.1,-2.3,-3.9,-6.1,2025-01-05T08:15,2025-01-05T16:07,28301.3,0.0,0.75,6.4,2.9,0.0,2.31,8.0,100,17.3,37.8,141,1.5,0.25
2025-01-06,80,10.9,0.2,7.1,-3.5,2025-01-06T08:15,2025-01-06T16:08,28400.21,0.0,0.5,8.6,8.6,0.0,0.0,13.0,100,17.5,41.8,189,1.02,0.64
2025-01-07,80,8.9,2.1,5.4,-2.1,2025-01-07T08:15,2025-01-07T16:10,28504.69,18472.22,1.05,1.3,0.8,0.4,0.0,3.0,85,20.0,58.3,220,3.02,0.95
