time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_180m,wind_direction_180m,wind_gusts_10m,temperature_180m,soil_temperature_54cm,soil_moisture_27_to_81cm,is_day
2024-12-06 00:00:00,2.3,79,-1.0,-3.2,15,0.0,0.0,0.0,0.0,0.0,3,1010.6,1005.9,100,100,10,5,24140.0,0.0,0.02,0.15,,,49.7,,,,0
2024-12-06 01:00:00,3.2,73,-1.2,-2.1,23,0.0,0.0,0.0,0.0,0.0,3,1008.8,1004.1,100,100,0,5,24140.0,0.0,0.03,0.21,,,47.2,,,,0
2024-12-06 02:00:00,3.9,65,-2.1,-1.6,29,0.0,0.0,0.0,0.0,0.0,3,1007.0,1002.3,100,100,88,100,24140.0,0.0,0.04,0.28,,,44.3,,,,0
2024-12-06 03:00:00,4.1,67,-1.5,-1.5,35,0.0,0.0,0.0,0.0,0.0,3,1004.9,1000.2,100,100,5,100,24140.0,0.0,0.04,0.27,,,44.3,,,,0
2024-12-06 04:00:00,3.6,79,0.3,-1.8,45,0.6,0.6,0.0,0.0,0.0,53,1003.1,998.4,100,100,100,100,9960.0,0.0,0.02,0.17,,,47.5,,,,0
2024-12-06 05:00:00,3.3,84,0.9,-2.2,63,0.5,0.5,0.0,0.0,0.0,53,1001.9,997.2,100,100,100,100,12300.0,0.0,0.02,0.12,,,48.2,,,,0
2024-12-06 06:00:00,3.1,89,1.5,-2.1,85,2.2,2.2,0.0,0.0,0.0,61,1000.5,995.8,100,100,100,100,5640.0,0.0,0.01,0.08,,,50.0,,,,0
2024-12-06 07:00:00,3.2,92,2.0,-1.5,100,2.6,2.6,0.0,0.0,0.0,63,999.9,995.2,100,100,100,100,7600.0,0.0,0.0,0.06,,,45.7,,,,0
2024-12-06 08:00:00,3.4,92,2.2,-0.8,100,1.8,1.8,0.0,0.0,0.0,61,999.6,994.9,100,100,100,100,9040.0,0.0,0.0,0.06,,,40.7,,,,0
2024-12-06 09:00:00,3.6,92,2.4,-0.3,100,0.9,0.9,0.0,0.0,0.0,53,999.6,994.9,100,100,100,48,19380.0,0.0,0.02,0.06,,,37.8,,,,1
2024-12-06 10:00:00,3.9,93,2.9,0.2,97,0.8,0.8,0.0,0.0,0.0,53,1000.1,995.4,100,100,100,100,18040.0,0.0,0.02,0.06,,,35.3,,,,1
2024-12-06 11:00:00,4.4,95,3.7,1.4,90,0.5,0.5,0.0,0.0,0.0,53,1000.4,995.7,100,100,100,100,17940.0,0.0,0.02,0.04,,,23.4,,,,1
2024-12-06 12:00:00,5.4,95,4.6,2.5,80,0.1,0.1,0.0,0.0,0.0,51,1001.2,996.5,100,100,100,100,24140.0,0.0,0.02,0.04,,,35.3,,,,1
2024-12-06 13:00:00,6.7,87,4.6,3.4,68,0.0,0.0,0.0,0.0,0.0,3,1001.9,997.3,100,100,100,100,24140.0,0.0,0.03,0.13,,,33.1,,,,1
2024-12-06 14:00:00,6.5,87,4.5,3.5,54,0.0,0.0,0.0,0.0,0.0,3,1002.5,997.9,100,100,14,94,24140.0,0.0,0.03,0.13,,,30.2,,,,1
2024-12-06 15:00:00,6.0,92,4.8,3.7,38,0.0,0.0,0.0,0.0,0.0,3,1003.0,998.3,100,100,10,100,24140.0,0.0,0.02,0.07,,,19.1,,,,1
2024-12-06 16:00:00,6.2,91,4.8,3.8,26,0.0,0.0,0.0,0.0,0.0,3,1003.7,999.0,100,100,99,100,24140.0,0.0,0.02,0.09,,,22.7,,,,0
2024-12-06 17:00:00,6.2,91,4.8,4.1,19,0.0,0.0,0.0,0.0,0.0,3,1004.7,1000.0,100,100,100,100,24140.0,0.0,0.0,0.09,,,9.0,,,,0
2024-12-06 18:00:00,6.0,91,4.7,3.8,16,0.0,0.0,0.0,0.0,0.0,3,1005.7,1001.0,100,100,5,100,24140.0,0.0,0.0,0.08,,,14.0,,,,0
2024-12-06 19:00:00,5.9,92,4.7,3.7,13,0.0,0.0,0.0,0.0,0.0,3,1006.6,1001.9,100,100,0,56,24140.0,0.0,0.0,0.07,,,10.8,,,,0
2024-12-06 20:00:00,5.9,93,4.8,3.7,9,0.0,0.0,0.0,0.0,0.0,3,1007.7,1003.0,100,100,0,10,24140.0,0.0,0.0,0.06,,,12.6,,,,0
2024-12-06 21:00:00,5.9,93,4.9,3.7,5,0.0,0.0,0.0,0.0,0.0,3,1008.9,1004.2,100,100,0,5,24140.0,0.0,0.0,0.07,,,15.1,,,,0
2024-12-06 22:00:00,5.9,93,4.9,3.6,3,0.0,0.0,0.0,0.0,0.0,3,1009.3,1004.6,100,100,0,5,24140.0,0.0,0.0,0.07,,,13.0,,,,0
